text,label
"Subject: Attendance Shortage Warning. Dear Student, your attendance in CS201 has fallen below 75%. Further absences may result in debarment from the final exam.",0
"Subject: Iftar Deal at Campus Dhaba. Dear Students, join us for a special Iftar buffet at Rs. 350 only. Seating is limited so come early.",0
"Subject: Internship Alert: Data Analyst at Google. A new internship matching your profile has been posted. Requirements include React and Docker. Last date to apply is June 10, 2025.",1
"Subject: Fee Submission Deadline — March 15, 2025. Dear Student, please submit your semester fee before March 15, 2025 to avoid a late surcharge. Visit the accounts office.",0
"Subject: Portal Maintenance Notice — May 1, 2025. The student portal will be under maintenance on May 1, 2025 from 11 PM to 2 AM. Services will be temporarily unavailable.",0
"Subject: Walk-in Interview — Full Stack Developer at Meta. You are invited to attend a walk-in interview on July 15, 2025 at Meta office, Lahore. Bring your CV and transcript.",1
"Subject: McDonald's Discount for Students — Show Your ID. Dear Student, present your university ID at McDonald's to get 20% off on all orders this weekend.",0
"Subject: Debate Competition — Student Council Candidates. Watch the candidates debate live on April 1, 2025 in the auditorium. All students are welcome to attend.",0
"Subject: Certification Training — Azure & TypeScript. A sponsored training program on Azure is being offered at Careem. Certificate provided. Register before May 1, 2025.",1
"Subject: Fee Submission Deadline — July 15, 2025. Dear Student, please submit your semester fee before July 15, 2025 to avoid a late surcharge. Visit the accounts office.",0
"Subject: Blood Donation Drive — April 10, 2025. The social welfare society is organizing a blood donation camp on April 10, 2025. Donate blood, save a life. Walk-ins welcome.",0
"Subject: Graduate Trainee Program — Netsol Technologies 2025. Applications are open for the Netsol Technologies Graduate Trainee Program. Eligible degrees: CS, SE, IT, EE. Apply by April 1, 2025.",1
"Subject: Survey Request — Campus Satisfaction. Dear Student, please take 5 minutes to fill out our campus satisfaction survey. Your feedback helps us improve.",0
"Subject: Fee Submission Deadline — August 31, 2025. Dear Student, please submit your semester fee before August 31, 2025 to avoid a late surcharge. Visit the accounts office.",0
"Subject: Scholarship Opportunity — HEC Undergraduate 2025. Dear Student, applications for the HEC Undergraduate are now open. Award: PKR 500,000 per semester. Minimum CGPA: 3.0. Apply by January 31, 2026.",1
"Subject: LUMS Ehsaas Scholarship — Apply Now. The Ehsaas scholarship is open for undergraduate students with financial need and strong academic record. Deadline: June 30, 2025.",1
"Subject: University Cafeteria — This Week's Menu. Dear Students, this week's special includes karahi, biryani, and fresh juices. Cafeteria timings: 8 AM to 8 PM.",0
Subject: Lost: Green Water Bottle — Gym Area. Has anyone seen a green Nalgene water bottle in the gym? Please contact me at lost_owner@outlook.com if found.,0
"Subject: Gym Membership Renewal — Action Required. Your campus gym membership expires on May 1, 2025. Renew online or visit the sports office to continue access.",0
"Subject: Gym Membership Renewal — Action Required. Your campus gym membership expires on May 15, 2025. Renew online or visit the sports office to continue access.",0
"Subject: Job Alert: Junior DevOps Engineer at Bytedance. A new job matching your profile has been posted on our platform. Required skills: Java, Python. CGPA requirement: 2.5+.",1
"Subject: Aptitude Test Scheduled — Telenor. Your application for the Business Analyst position has been shortlisted. Aptitude test scheduled for June 10, 2025 at 11:00 AM.",1
"Subject: Book Return Reminder — Due Date: April 1, 2025. This is a reminder that the books issued to you are due for return on April 1, 2025. Late returns incur a daily fine.",0
"Subject: Student Council Elections 2025 — Vote Now. Dear Student, cast your vote for your student representative. Voting is open from April 1, 2025 to April 1, 2025. Visit the portal.",0
Subject: Domino's Weekend Offer — 50% Off. Don't miss our weekend pizza deal. Order online and get 50% off on all large pizzas. Offer valid till Sunday.,0
"Subject: Internship Opening at Techlogix — Apply by May 15, 2025. Dear Student, we are hiring motivated undergraduates for a paid summer internship in Data Science. Shortlisted candidates will be contacted for an online test.",1
"Subject: CodeFest — Register Before May 31, 2025. Hi Developer, CodeFest is now open for registration. Form a team of 2-4 and compete for cash prizes worth PKR 150,000. Theme: Embedded Systems.",1
"Subject: IBM Summer Internship 2025 — Applications Open. Hello, IBM is offering a 10-week internship program for BS students in Computer Science and related fields. Apply before July 15, 2025.",1
"Subject: National Hackathon — CodeFest. Dear Student, we invite you to participate in CodeFest, hosted by Ignite. Solo or team registrations open till February 28, 2026.",1
"Subject: Fully Funded Fellowship — Bytedance Embedded Systems Program. We are pleased to announce the Bytedance Fellowship for students pursuing Embedded Systems. Covers tuition, stipend, and mentorship.",1
"Subject: Survey Request — Campus Satisfaction. Dear Student, please take 5 minutes to fill out our campus satisfaction survey. Your feedback helps us improve.",0
"Subject: HackFest Pro — 48 Hour Build Challenge. Registration is open for HackFest, a 48-hour national hackathon. Theme: Natural Language Processing. Last date to register: January 31, 2026.",1
"Subject: Debate Competition — Student Council Candidates. Watch the candidates debate live on August 1, 2025 in the auditorium. All students are welcome to attend.",0
"Subject: Annual Sports Gala — August 1, 2025. Get ready for the Annual Sports Gala! Events include cricket, football, badminton, and table tennis. Register your team at the sports office.",0
"Subject: Gym Membership Renewal — Action Required. Your campus gym membership expires on July 15, 2025. Renew online or visit the sports office to continue access.",0
Subject: Domino's Weekend Offer — 50% Off. Don't miss our weekend pizza deal. Order online and get 50% off on all large pizzas. Offer valid till Sunday.,0
"Subject: Certification Training — Azure & React. A sponsored training program on Azure is being offered at IBM. Certificate provided. Register before April 20, 2025.",1
Subject: Election Results Announcement — Student Body 2025. We are pleased to announce the results of the student council elections. Thank you to all candidates who participated.,0
"Subject: Google Generation Scholarship — Applications Open. Hello, Google is offering scholarships to students from underrepresented backgrounds in CS. Award: USD 1000. Apply by April 10, 2025.",1
"Subject: National Hackathon — NexaThon. Dear Student, we invite you to participate in NexaThon, hosted by Jazz. Solo or team registrations open till April 10, 2025.",1
"Subject: Campus Wi-Fi Upgrade Notice. The IT department will be upgrading the campus Wi-Fi infrastructure over the weekend. Expect intermittent connectivity on April 10, 2025.",0
"Subject: Lost: Black JanSport Backpack — CS Department. Hi, I lost my black JanSport backpack near the CS lab on November 30, 2025. It had my charger and notebooks. Please contact if found.",0
"Subject: HexaHack — Register Before January 31, 2026. Hi Developer, HexaHack is now open for registration. Form a team of 2-4 and compete for cash prizes worth PKR 100,000. Theme: Machine Learning.",1
"Subject: Open Source Contributor Program — Jazz. Jazz is offering paid open-source contributions for students. Apply by July 15, 2025 with a sample PR or project link.",1
"Subject: Student Transport Schedule Update. Dear Students, the shuttle service route has been updated effective March 15, 2025. Please check the new timings on the portal.",0
Subject: New Food Stall Opening — C Block Lawn. We are excited to announce a new food stall near the C Block lawn. Visit us today and try our deals.,0
"Subject: Gym Membership Renewal — Action Required. Your campus gym membership expires on April 10, 2025. Renew online or visit the sports office to continue access.",0
"Subject: Portal Maintenance Notice — August 1, 2025. The student portal will be under maintenance on August 1, 2025 from 11 PM to 2 AM. Services will be temporarily unavailable.",0
"Subject: Electricity Outage — September 1, 2025. Please note that there will be a planned electricity outage on September 1, 2025 from 9 AM to 1 PM due to maintenance work in the main grid.",0
Subject: Exam Schedule Updated — Please Check Portal. The updated midterm exam schedule has been posted on the portal. Please verify your paper timings.,0
"Subject: Full-Time Job Opening — Microsoft Lahore. Dear candidate, we are urgently hiring for the position of Data Analyst. Send your CV to careers@systemslimited.com before July 15, 2025.",1
