cgpa,current_semester,total_semesters,min_cgpa_required,cgpa_gap,skills_overlap_count,skills_overlap_pct,location_match,type_preference_match,graduation_year_match,financial_need,is_scholarship,days_until_deadline,urgency_score,quality_signal,match_score
3.55,6,10,3.0,0.55,8,1.0,1,0,1,0,0,53,0.209,1.0,0.8682
2.88,7,8,2.8,0.08,4,0.5,1,1,1,1,0,52,0.2121,0.5,0.8301
3.72,3,6,3.2,0.52,5,0.625,1,1,1,0,1,50,0.2188,0.625,0.8393
3.39,9,10,2.5,0.89,3,0.375,0,1,0,1,0,73,0.1609,0.375,0.5293
2.19,8,10,2.8,-0.61,8,1.0,0,1,1,1,0,89,0.1359,0.0,0.4779
3.95,4,7,2.5,1.45,0,0.0,1,1,1,0,0,22,0.3889,0.0,0.6826
3.52,6,8,2.8,0.72,2,0.25,1,1,1,1,0,2,0.875,0.25,0.7725
3.57,2,6,2.5,1.07,8,1.0,1,1,1,0,0,58,0.1944,1.0,0.9424
2.26,9,10,2.5,-0.24,4,0.5,1,0,1,0,0,10,0.5833,0.0,0.5874
2.9,6,9,3.0,-0.1,1,0.125,1,0,1,1,1,39,0.2642,0.0,0.4216
2.74,3,6,2.5,0.24,3,0.375,1,1,1,1,0,84,0.1429,0.375,0.7812
3.85,5,9,2.5,1.35,2,0.25,1,1,1,0,0,60,0.1892,0.25,0.829
3.29,5,8,3.5,-0.21,4,0.5,1,1,1,1,1,85,0.1414,0.0,0.7953
3.65,5,8,0.0,3.65,2,0.25,1,0,0,1,0,3,0.8235,0.25,0.4282
2.89,4,7,2.8,0.09,3,0.375,1,0,0,0,0,64,0.1795,0.375,0.502
2.45,10,10,2.8,-0.35,8,1.0,1,1,1,1,0,29,0.3256,0.0,0.6324
3.11,5,8,2.5,0.61,0,0.0,1,1,0,0,0,7,0.6667,0.0,0.496
2.13,6,10,2.8,-0.67,6,0.75,0,1,0,0,0,28,0.3333,0.0,0.2684
3.66,4,6,0.0,3.66,0,0.0,1,1,1,0,0,85,0.1414,0.0,0.7302
3.26,5,8,3.0,0.26,4,0.5,1,1,1,0,0,38,0.2692,0.5,0.8932
3.52,5,7,2.5,1.02,6,0.75,1,1,0,1,0,83,0.1443,0.75,0.8384
2.71,9,10,2.5,0.21,8,1.0,0,1,0,0,0,11,0.56,1.0,0.5972
3.94,4,8,2.5,1.44,2,0.25,1,0,1,0,0,60,0.1892,0.25,0.6126
3.79,7,9,3.2,0.59,0,0.0,1,1,1,0,1,40,0.2593,0.0,0.7822
